k_phys_Mpc,nbar_ms,A_ring,phi_ring,damping
0.0005,0.08263053857368752,0.5133542767934051,-1.841005554062816,1.0
0.0005134911573176754,0.07816861881181612,0.5021171410957688,-1.8475983552077933,1.0
0.0005273463372868919,0.07385862154042551,0.490760096117944,-1.8542177063950778,1.0
0.0005415753620813668,0.06970292141097129,0.4793013313873282,-1.8609411645231086,1.0
0.0005561883188998003,0.06570287574691325,0.4677586982549565,-1.8678369412883813,1.0
0.0005711955671168616,0.06185897929660139,0.45614978177089566,-1.8749655143757105,1.0
0.0005866077456271272,0.058170990052717315,0.444491942529816,-1.882380958302124,1.0
0.0006024357803871722,0.05463803288547972,0.43280233561502324,-1.8901320461880449,1.0
0.0006186908921611721,0.05125865733782564,0.4210978105063963,-1.898262687176672,1.0
0.0006353846044754915,0.04803100205298841,0.4093952146163505,-1.9068141865104133,1.0
0.0006525287517879072,0.044952762215852045,0.3977110549505447,-1.9158243561265647,1.0
0.0006701354878772612,0.04202127038344029,0.38606155159546907,-1.9253284608833399,1.0
0.0006882172944594806,0.039233548058927585,0.37446261721481394,-1.9353597356712882,1.0
0.0007067869900360764,0.03658634676465226,0.36292981543541647,-1.9459497494013498,1.0
0.0007258577389814024,0.034076184585105716,0.3514783162669368,-1.957128708019709,1.0
0.0007454430608751031,0.03169937300483448,0.34012282047146836,-1.968925581331266,1.0
0.000765556840086375,0.029452063357971674,0.3288775910418748,-1.9813686493165001,1.0
0.0007862133356168306,0.02733026298832743,0.3177563593832805,-1.9944854673020593,1.0
0.0008074271912089526,0.025329855936466562,0.30677225488518167,-2.0083029055304435,1.0
0.0008292134457272911,0.023446631552259792,0.29593778646997015,-2.022847372427554,1.0
0.0008515875438197684,0.021676306344495508,0.2852648024486045,-2.03814491303614,1.0
0.0008745653468666591,0.02001454319069374,0.27476444528565713,-2.054221253603548,1.0
0.0008981631442249901,0.018456973870853797,0.26444713838793704,-2.0711019475432164,1.0
0.0009223976647763459,0.016999217262060957,0.25432256005719145,-2.088812437517405,1.0
0.0009472860887862543,0.015636892807617188,0.2443995947694563,-2.1073779957069894,1.0
0.0009728460600835759,0.014365639168324942,0.23468632980269116,-2.1268238218412123,1.0
0.0009990956985685136,0.013181129569338862,0.22519004260254674,-2.147175074262744,1.0
0.001026053613058115,0.012079085491455858,0.21591718757926515,-2.168456874157321,1.0
0.0010537389144783876,0.011055292298146176,0.2068734126699057,-2.1906944035779343,1.0
0.0010821712294123576,0.010105609650886069,0.19806354684692143,-2.2139128629064375,1.0
0.0011113707140136865,0.009225983118292239,0.18949160953602157,-2.2381374939692353,1.0
0.0011413580682957186,0.008412454879099758,0.18116082670411254,-2.26339361023109,1.0
0.001172154550806071,0.00766117291646582,0.17307364750019721,-2.2897066099667005,1.0
0.001203781993697179,0.00696839932316729,0.16523176689018818,-2.3171019969869127,1.0
0.0012362628182034862,0.0063305178725382855,0.1576361566088478,-2.345605421570665,1.0
0.0012696200505362383,0.005744039302205172,0.15028708566929483,-2.375242662698986,1.0
0.0013038773382071588,0.00520560664495781,0.14318415609371168,-2.4060396632733823,1.0
0.0013390589667925683,0.004711999134107719,0.13632633717959516,-2.438022551468098,1.0
0.0013751898771498532,0.004260134994544105,0.12971200043059916,-2.4712176519873497,1.0
0.0014122956830984617,0.0038470737550642263,0.1233389636463128,-2.5056515393709082,1.0
0.0014504026895779721,0.0034700167625846675,0.11720452393311524,-2.5413510332243017,1.0
0.0014895379112961243,0.0031263074059676567,0.11130549980023709,-2.578343233262634,1.0
0.0015297290918799998,0.0028134303703091896,0.10563827180035382,-2.6166555476593736,1.0
0.0015710047235439574,0.0025290100576408434,0.10019882190866511,-2.6563157165020366,1.0
0.0016133940672882429,0.002270808521058077,0.09498277656614708,-2.6973518562003043,1.0
0.0016569271736426227,0.0020367225047832555,0.08998544421636973,-2.7397924815159254,1.0
0.0017016349039697125,0.0018247800403112014,0.08520185367862083,-2.7836665358145285,1.0
0.0017475489523431185,0.0016331365831684713,0.0806267917509923,-2.829003431069667,1.0
0.0017947018680159186,0.0014600707384799215,0.07625483939830535,-2.8758330716873792,1.0
0.001843127078495378,0.0013039796773682594,0.07208040710707314,-2.9241859033709052,1.0
0.0018928589132402754,0.0011633742624327168,0.06809776814200681,-2.9740929482117164,1.0
0.001943932627997653,0.0010368739116831675,0.06430108823047449,-3.0255858331695813,1.0
0.0019963844297962124,0.0009232014082030658,0.060684455618832116,-3.0786968312826195,1.0
0.0020502515026140896,0.0008211775806683133,0.05724190793184417,-3.1334588956425793,1.0794803861514247e-16
0.002105572033739224,0.0007297159855874296,0.05396745812553369,3.0932796076434825,2.1733470552926528e-33
0.0021623852408409715,0.0006478176327057793,0.05085511981373028,3.0351136217172905,1.2014516740038031e-49
0.0022207313997721816,0.0005745656391149793,0.04789892603770179,2.975193221735924,1.7759112668059634e-65
0.0022806518731214405,0.0005091200909180753,0.04509295008691865,2.9134823435841883,6.839928950984546e-81
0.0023421891395357056,0.0004507129795385661,0.042431322667021126,2.8499440512820846,6.693754514321514e-96
0.00240538682383416,0.00039864329971273863,0.039908247650170696,2.784540518210776,1.6241847443427994e-110
0.002470289727934583,0.00035227239443625015,0.03751802005741827,2.717232951293061,9.540863459898473e-125
0.0025369438626141896,0.00031101931443452274,0.03525503406354337,2.6479815920770986,1.325677573817872e-138
0.002605396480127468,0.0002743565124508682,0.03311379554054686,2.5767456719444968,4.259538453372911e-152
0.002675696107704106,0.00024180570925123787,0.03108893133811433,2.503483382986743,3.0959654847836585e-165
0.0027478925819507624,0.00021293394320185337,0.0291751948322732,2.428151853829921,4.982237848792629e-178
