k_Mpc,A_eff,frac_ringdown,SNR_Planck,SNR_CMBS4,SNR_ideal
0.0004999999999999999,0.012499999999999997,-0.005992819232552535,0.6249999999999999,12.499999999999996,124.99999999999997
0.000550750766628672,0.012499999999999999,-0.006541589106566983,0.6249999999999999,12.499999999999998,124.99999999999999
0.0006066528138841399,0.0125,-0.007126509270706083,0.625,12.5,125.0
0.0006682290046482624,0.012499999999999997,-0.007744960867471746,0.6249999999999999,12.499999999999996,124.99999999999997
0.0007360552731870899,0.0125,-0.008392120202657961,0.625,12.5,125.0
0.0008107660119777336,0.012500000000000004,-0.009060189073502525,0.6250000000000002,12.500000000000004,125.00000000000004
0.0008930600053064158,0.012500000000000004,-0.009737426381975542,0.6250000000000002,12.500000000000004,125.00000000000004
0.0009837069651358289,0.0125,-0.010406956534409517,0.625,12.5,125.0
0.0010835547303730442,0.012500000000000004,-0.011045345954463062,0.6250000000000002,12.500000000000004,125.00000000000004
0.0011935371968741565,0.012500000000000004,-0.011620972386082238,0.6250000000000002,12.500000000000004,125.00000000000004
0.0013146830523565558,0.012500000000000004,-0.012092273471622093,0.6250000000000002,12.500000000000004,125.00000000000004
0.0014481253979181914,0.012500000000000004,-0.012406066902067006,0.6250000000000002,12.500000000000004,125.00000000000004
0.0015951123461557895,0.0125,-0.012496304752094371,0.625,12.5,125.0
0.0017570186950083234,0.0125,-0.012283883324336616,0.625,12.5,125.0
0.001935358786513486,0.012500000000000004,-0.011678498142992754,0.6250000000000002,12.500000000000004,125.00000000000004
0.0021318006707476776,9.336896136511937e-70,-7.905747808934714e-70,4.668448068255969e-68,9.336896136511938e-67,9.336896136511936e-66
0.0023481817074276017,1.2794768838782402e-163,-9.119470388504687e-164,6.3973844193912e-162,1.2794768838782401e-160,1.27947688387824e-159
0.0025865257510983516,7.81982949411205e-249,-4.121051390510545e-249,3.909914747056025e-247,7.81982949411205e-246,7.819829494112049e-245
0.0028490620806444376,0.0,-0.0,0.0,0.0,0.0
0.0031382462501752073,0.0,-0.0,0.0,0.0,0.0
0.0034567830563071015,0.0,-0.0,0.0,0.0,0.0
0.0038076518366602806,0.0,-0.0,0.0,0.0,0.0
0.004194134336191441,0.0,0.0,0.0,0.0,0.0
0.004619845402002146,0.0,0.0,0.0,0.0,0.0
0.005088766793717255,0.0,0.0,0.0,0.0,0.0
0.005605284425668615,0.0,-0.0,0.0,0.0,0.0
0.0061742293892174975,0.0,-0.0,0.0,0.0,0.0
0.006800923138905629,0.0,-0.0,0.0,0.0,0.0
0.0074912272650699,0.0,0.0,0.0,0.0,0.0
0.008251598318453715,0.0,0.0,0.0,0.0,0.0
0.0090891481996005,0.0,-0.0,0.0,0.0,0.0
0.010011710677863174,0.0,0.0,0.0,0.0,0.0
0.01102791466219521,0.0,0.0,0.0,0.0,0.0
0.012147264909039168,0.0,-0.0,0.0,0.0,0.0
0.013380230922189778,0.0,0.0,0.0,0.0,0.0
0.014738344876129374,0.0,-0.0,0.0,0.0,0.0
0.01623430947873203,0.0,0.0,0.0,0.0,0.0
0.017882116782197564,0.0,-0.0,0.0,0.0,0.0
0.019697179053477502,0.0,0.0,0.0,0.0,0.0
0.02169647292824992,0.0,-0.0,0.0,0.0,0.0
0.023898698196743746,0.0,-0.0,0.0,0.0,0.0
0.02632445270656776,0.0,0.0,0.0,0.0,0.0
0.028996425018444832,0.0,0.0,0.0,0.0,0.0
0.031939606616798594,0.0,0.0,0.0,0.0,0.0
0.03518152566004008,0.0,0.0,0.0,0.0,0.0
0.038752504456866746,0.0,0.0,0.0,0.0,0.0
0.042685943076800785,0.0,0.0,0.0,0.0,0.0
0.047018631747631774,0.0,-0.0,0.0,0.0,0.0
0.05179109496167884,0.0,-0.0,0.0,0.0,0.0
0.05704797050936595,0.0,-0.0,0.0,0.0,0.0
0.06283842698528634,0.0,-0.0,0.0,0.0,0.0
0.06921662367177264,0.0,-0.0,0.0,0.0,0.0
0.07624221710135415,0.0,-0.0,0.0,0.0,0.0
0.0839809190360809,0.0,-0.0,0.0,0.0,0.0
0.092505111082604,0.0,0.0,0.0,0.0,0.0
0.10189452169162923,0.0,-0.0,0.0,0.0,0.0
0.1122369718738533,0.0,0.0,0.0,0.0,0.0
0.12362919660721082,0.0,0.0,0.0,0.0,0.0
0.13617774961821638,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.0,0.0,0.0,0.0
