k_Mpc,nbar_k,Pz_standard,Pz_toe,Pz_ringdown,A_ring,ns_numerical
0.0004999999999999999,0.1559348038488471,2.467284865373013e-09,3.2367560284153525e-09,3.2173587346371845e-09,0.012499999999999997,0.37907546948881077
0.000550750766628672,0.12307239666529925,2.4589506686068454e-09,3.0642085727412143e-09,3.044163779321521e-09,0.012499999999999999,0.48758728143880603
0.0006066528138841399,0.09809783168340871,2.450644623772671e-09,2.931450471410075e-09,2.910559462448955e-09,0.0125,0.5862740293045903
0.0006682290046482624,0.07907766097846802,2.4423666357765895e-09,2.8286399173947148e-09,2.806732211926324e-09,0.012499999999999997,0.6666050410699853
0.0007360552731870899,0.06456758595810488,2.4341166098459168e-09,2.748446676722471e-09,2.72538138184082e-09,0.0125,0.7312642646713385
0.0008107660119777336,0.05349024655201772,2.4258944515280995e-09,2.6854178361709192e-09,2.6610874428338547e-09,0.012500000000000004,0.7829844640256596
0.0008930600053064158,0.045044619548105666,2.4177000666896337e-09,2.6355088260605624e-09,2.609845752887751e-09,0.012500000000000004,0.824333087394777
0.0009837069651358289,0.03863942989036025,2.409533361514988e-09,2.595739352296473e-09,2.5687256056824677e-09,0.0125,0.8576203490064387
0.0010835547303730442,0.033845227770857175,2.401394242505528e-09,2.5639457127159774e-09,2.535626045310567e-09,0.012500000000000004,0.8849011039874739
0.0011935371968741565,0.030361781210261687,2.3932826164784476e-09,2.5386112628301302e-09,2.5091101314457837e-09,0.012500000000000004,0.9080542849715414
0.0013146830523565558,0.027999633408132604,2.3851983905656994e-09,2.518767751648714e-09,2.488310123184275e-09,0.012500000000000004,0.9289510878620746
0.0014481253979181914,0.02667800970613961,2.3771414722129357e-09,2.5039762787500633e-09,2.4729117815147013e-09,0.012500000000000004,0.949780625215638
0.0015951123461557895,0.0264482021369447,2.3691117691784448e-09,2.494429263090937e-09,2.4632581148368105e-09,0.0125,0.9737503579837323
0.0017570186950083234,0.027569834169961036,2.3611091895320973e-09,2.4912999671572395e-09,2.460697129034756e-09,0.0125,1.0068537419870864
0.001935358786513486,0.030725695032283076,2.3531336416542924e-09,2.497736974941643e-09,2.468567158318103e-09,0.012500000000000004,1.0632817089602185
0.0021318006707476776,0.037690905728278865,2.3451850342349094e-09,2.521969330316346e-09,2.521969330316346e-09,0.012499999999999997,1.187004070795254
0.0023481817074276017,0.05400265157296309,2.337263276272264e-09,2.5897001049578905e-09,2.5897001049578905e-09,0.012499999999999999,1.5883830867228
0.0025865257510983516,0.10656633240458148,2.3293682770720623e-09,2.8258327452863597e-09,2.8258327452863597e-09,0.0125,9.34300852368743
0.0028490620806444376,2.2990779652664437,2.3214999462463668e-09,1.2996118691810878e-08,1.2996118691810878e-08,0.0125,0.9288359148128649
0.0031382462501752073,0.10233984815495868,2.313658193712559e-09,2.7872170501665976e-09,2.7872170501665976e-09,0.006970253221473293,-7.6169310871293305
0.0034567830563071015,0.03258437689239122,2.3058429296923095e-09,2.4561118398438093e-09,2.4561118398438093e-09,0.004305157815222419,0.13764633351723887
0.0038076518366602806,0.013296771106687007,2.2980540647105494e-09,2.3591674624890453e-09,2.3591674624890453e-09,0.0028267207500159586,0.7005751208006501
0.004194134336191441,0.006039722957166123,2.290291509594445e-09,2.3179569620126456e-09,2.3179569620126456e-09,0.0019254909318708166,0.859296211363997
0.004619845402002146,0.0029126535010321293,2.2825551754723794e-09,2.2958517601186566e-09,2.2958517601186566e-09,0.0013433631081655147,0.9179639687848749
0.005088766793717255,0.0014584844596749556,2.2748449737729316e-09,2.281480625857767e-09,2.281480625857767e-09,0.0009526698214595247,0.9427007698801759
0.005605284425668615,0.0007490011974478381,2.2671608162238665e-09,2.2705570285561834e-09,2.2705570285561834e-09,0.0006834295620930277,0.9539847135959008
0.0061742293892174975,0.00039161982273934503,2.259502614851121e-09,2.261272346878135e-09,2.261272346878135e-09,0.0004944442621884213,0.9594060178242785
0.006800923138905629,0.00020768968247181953,2.2518702819777975e-09,2.252805662425461e-09,2.252805662425461e-09,0.000360173872587521,0.9621052805865133
0.0074912272650699,0.00011163408412721902,2.244263730223163e-09,2.2447648028752896e-09,2.2447648028752896e-09,0.0002640983588228997,0.9634816821824899
0.008251598318453715,6.086798336581945e-05,2.2366828725016427e-09,2.2369551572533985e-09,2.2369551572533985e-09,0.00019502703431081045,0.9641930674893189
0.0090891481996005,3.3613134748698146e-05,2.22912762202183e-09,2.229277477956092e-09,2.229277477956092e-09,0.00014493478189072493,0.964562892496545
0.010011710677863174,1.8607572145546543e-05,2.221597892285487e-09,2.2216805693716053e-09,2.2216805693716053e-09,0.00010783822813326631,0.9647570458548387
0.01102791466219521,1.0124690595100122e-05,2.214093597086558e-09,2.2141384311117963e-09,2.2141384311117963e-09,7.954708942907359e-05,0.9648630070384883
0.012147264909039168,5.363558866274836e-06,2.20661465051018e-09,2.2066383211253264e-09,2.2066383211253264e-09,5.789793053535806e-05,0.9649251737264848
0.013380230922189778,2.8908203826114095e-06,2.1991609669317014e-09,2.199173681690397e-09,2.199173681690397e-09,4.25058475301257e-05,0.9649622753336331
0.014738344876129374,1.7165281159286584e-06,2.1917324610157005e-09,2.1917399853564846e-09,2.1917399853564846e-09,3.2754000522904804e-05,0.9649808747111166
0.01623430947873203,1.0418895930879243e-06,2.1843290477150076e-09,2.1843335993744128e-09,2.1843335993744128e-09,2.5518208435399645e-05,0.9649875747867895
0.017882116782197564,5.153269037547979e-07,2.176950642269733e-09,2.176952885952201e-09,2.176952885952201e-09,1.794655447779513e-05,0.9649917364993144
0.019697179053477502,2.430205948819478e-07,2.169597160206296e-09,2.169598214719881e-09,2.169598214719881e-09,1.2324275288810213e-05,0.9649966834398072
0.02169647292824992,1.9470060957841027e-07,2.1622685173364576e-09,2.162269359326454e-09,2.162269359326454e-09,1.1031219795130679e-05,0.9649984940806746
0.023898698196743746,9.743687907981344e-08,2.1549646297563555e-09,2.154965049702412e-09,2.154965049702412e-09,7.803719097441613e-06,0.9649983569538421
0.02632445270656776,3.586026908668277e-08,2.1476854138455474e-09,2.147685567878701e-09,2.147685567878701e-09,4.734201708257931e-06,0.9649994833518036
0.028996425018444832,4.7490279490068934e-08,2.1404307862660482e-09,2.1404309895653607e-09,2.1404309895653607e-09,5.4480657588657414e-06,0.9649996869027575
0.031939606616798594,5.591819430209239e-09,2.1332006639613796e-09,2.1332006878183256e-09,2.1332006878183256e-09,1.8694617118904194e-06,0.964999725000979
0.03518152566004008,2.0904944926492767e-08,2.12599496415562e-09,2.125995053043235e-09,2.125995053043235e-09,3.6146354982413742e-06,0.9649999573958041
0.038752504456866746,1.4730871886035074e-09,2.1188136043524523e-09,2.118813610594847e-09,2.118813610594847e-09,9.595204482247815e-07,0.9649998512104361
0.042685943076800785,6.520821867238076e-09,2.1116565023342245e-09,2.1116565298736963e-09,2.1116565298736963e-09,2.0187901314562923e-06,0.9650000617095458
0.047018631747631774,7.438812226283895e-09,2.104523576161004e-09,2.1045236074713153e-09,2.1045236074713153e-09,2.156213706028865e-06,0.9649999523043249
0.05179109496167884,1.909876633022348e-09,2.097414744169643e-09,2.0974147521812496e-09,2.0974147521812496e-09,1.0925533812465975e-06,0.9649999317277462
0.05704797050936595,8.386414461024888e-10,2.0903299249728426e-09,2.0903299284789175e-09,2.0903299284789175e-09,7.239826678689088e-07,0.9649999946392143
0.06283842698528634,1.3916251084181505e-09,2.0832690374582194e-09,2.0832690432564784e-09,2.0832690432564784e-09,9.326122937899177e-07,0.9650000078033258
0.06921662367177264,1.593024403104812e-09,2.076232000787378e-09,2.0762320074023547e-09,2.0762320074023547e-09,9.978177432328435e-07,0.965000004176872
0.07624221710135415,1.7954220611363126e-09,2.0692187343949876e-09,2.0692187418252292e-09,2.0692187418252292e-09,1.0593105228355072e-06,0.965000012454766
0.0839809190360809,2.797079535681973e-09,2.062229157987855e-09,2.062229169524293e-09,2.062229169524293e-09,1.3221855760447852e-06,0.9650000119570876
0.092505111082604,2.9513630166174726e-09,2.0552631915440084e-09,2.0552632036756643e-09,2.0552632036756643e-09,1.3581612096395609e-06,0.9649999953979744
0.10189452169162923,2.3521842912857384e-09,2.0483207553117825e-09,2.0483207649478386e-09,2.0483207649478386e-09,1.2124830610637417e-06,0.9649999957941446
0.1122369718738533,2.54476502061481e-09,2.041401769808902e-09,2.0414017801986777e-09,2.0414017801986777e-09,1.2611415968737825e-06,0.9650000044411797
