N,a,z2
-18.719,7.420643933811846e-09,1.101319127848371e-18
-18.712,7.47277067208181e-09,1.1168460303505206e-18
-18.705,7.525263577609886e-09,1.1325918382500388e-18
-18.698,7.578125222558921e-09,1.148559637775674e-18
-18.691,7.631358197160146e-09,1.164752558667267e-18
-18.684,7.684965109839915e-09,1.1811737747891364e-18
-18.677,7.73894858734773e-09,1.1978265047522287e-18
-18.67,7.793311274884734e-09,1.2147140125449103e-18
-18.663,7.848055836233551e-09,1.2318396081727901e-18
-18.656,7.903184953888609e-09,1.249206648307426e-18
-18.649,7.95870132918768e-09,1.2668185369442747e-18
-18.642,8.014607682444314e-09,1.2846787260699084e-18
-18.635,8.07090675308095e-09,1.3027907163385539e-18
-18.628,8.127601299763375e-09,1.3211580577583063e-18
-18.621,8.184694100535687e-09,1.3397843503868737e-18
-18.614,8.24218795295652e-09,1.3586732450372318e-18
-18.607,8.300085674236205e-09,1.3778284439932216e-18
-18.6,8.358390101374608e-09,1.3972537017351407e-18
-18.593,8.417104091300386e-09,1.4169528256757142e-18
-18.586,8.476230521010765e-09,1.4369296769062884e-18
-18.579,8.535772287712596e-09,1.4571881709536465e-18
-18.572,8.595732308964425e-09,1.4777322785474977e-18
-18.565,8.656113522819228e-09,1.4985660263986781e-18
-18.558,8.716918887968625e-09,1.5196934979884834e-18
-18.551,8.778151383887648e-09,1.5411188343689725e-18
-18.544,8.839814010980813e-09,1.562846234974654e-18
-18.537,8.901909790729251e-09,1.584879958445626e-18
-18.53,8.96444176583853e-09,1.6072243234622043e-18
-18.523,9.027413000388005e-09,1.6298837095914875e-18
-18.516,9.090826579980736e-09,1.6528625581456852e-18
-18.509,9.154685611894782e-09,1.6761653730526666e-18
-18.502,9.218993225235544e-09,1.6997967217387771e-18
-18.495,9.28375257108888e-09,1.7237612360239881e-18
-18.488,9.348966822675761e-09,1.748063613029842e-18
-18.481,9.414639175507494e-09,1.7727086161000085e-18
-18.474,9.480772847542576e-09,1.797701075734011e-18
-18.467,9.547371079344136e-09,1.823045890533936e-18
