k_Mpc,nbar_k
0.0004999999999999999,0.1559348038488471
0.0006086785237511755,0.09735235110772943
0.0007409790905518209,0.06370393838348572
0.0009020361179351422,0.04429589118152349
0.0010981000252700075,0.03329221062375537
0.0013367798046249536,0.02769801805148205
0.0016273383161190035,0.026555339936641695
0.0019810517677980783,0.03194801894609569
0.002411647330995982,0.06228545345308277
0.0029358358744781946,0.3896602052358141
0.0035739604921062587,0.02351268861295168
0.00435078599256053,0.004554871397202265
0.005296459990218074,0.001104159332490043
0.0064476828959062074,0.00029421971951836863
0.00784913221339179,8.314676142368354e-05
0.009555196416750227,2.4775559486457434e-05
0.011632085698200102,7.147094092347309e-06
0.014160401501855203,2.102441738334504e-06
0.01723826456374631,6.955050976276661e-07
0.020985122853386617,2.0569623879947513e-07
0.02554638719827285,3.8186103310391794e-08
0.03109907449404132,1.1484846267911474e-08
0.03785867750612182,1.0133709286147798e-09
0.04608752787119614,4.499545419990364e-09
0.05610497685596169,1.7476205981633511e-09
0.06829978897556127,2.433654115347057e-09
0.08314522945232292,2.229331754787799e-09
0.10121743103998537,2.2162271568247986e-09
0.12321775300660943,2.8180045082049345e-09
0.15,2.5645912977343144e-09
