k_Mpc,Q_toe,signal_1minusQ,SNR_LiteBIRD,SNR_CMBS4
0.0004999999999999999,0.7622708797675256,0.2377291202324744,3.864871999777738,7.729743999555476
0.0005787432435413461,0.8204596066213506,0.17954039337864935,2.9188710180715747,5.837742036143149
0.0006698874838895159,0.8640733862363226,0.13592661376367743,2.2098216787498024,4.419643357499605
0.0007753857104679395,0.8956835019136083,0.10431649808639165,1.695921442752595,3.39184288550519
0.0008974984821436539,0.9179857271383937,0.08201427286160634,1.3333438766566976,2.6666877533133952
0.0010388423652585065,0.9332556527929131,0.06674434720708688,1.0850936494942525,2.170187298988505
0.0012024459999957439,0.9431435644468319,0.056856435553168105,0.9243413072900838,1.8486826145801676
0.001391814996441709,0.9485963782511995,0.05140362174880053,0.8356923972537653,1.6713847945075306
0.0016110070509003237,0.9496783983212405,0.05032160167875954,0.8181014977131053,1.6362029954262105
0.001864718892012066,0.9448289552876968,0.05517104471230316,0.8969411307228592,1.7938822614457184
0.0021583869197117768,0.9275469218919165,0.07245307810808355,1.1779031218548623,2.3558062437097247
0.002498303693462418,0.8640008553924856,0.1359991446075144,2.211000846144994,4.422001692289988
0.0028917527658115297,0.4044748233742736,0.5955251766257263,9.681727581596684,19.36345516319337
0.0033471647504108477,0.9160913152331372,0.08390868476686275,1.3641422051135197,2.7282844102270394
0.0038742979686400693,0.9775707146385674,0.022429285361432627,0.3646432413650269,0.7292864827300538
0.004484447545632805,0.9927962312892566,0.007203768710743352,0.11711499186889987,0.23422998373779974
0.005190687436101117,0.9974666379842201,0.0025333620157799164,0.04118603522577961,0.08237207045155923
0.00600815056595695,0.9990619015977639,0.0009380984022361316,0.015251098579312323,0.030502197158624646
0.006954353092453408,0.9996406301081056,0.00035936989189444546,0.005842442151755649,0.011684884303511297
0.008049569730916554,0.9998579964926526,0.00014200350734738798,0.002308616541719659,0.004617233083439318
0.009317268190365775,0.9999422096397674,5.7790360232568005e-05,0.0009395245517314227,0.0018790491034628453
0.010784612026873803,0.999976638676069,2.336132393099266e-05,0.00037979582244841665,0.0007595916448968333
0.012483042689535914,0.9999910389021229,8.961097877069335e-06,0.00014568470298668098,0.00029136940597336195
0.01444895323081421,0.9999962103659739,3.7896340261411865e-06,6.160982896296147e-05,0.00012321965792592293
0.01672446811715727,0.9999982713411184,1.7286588815945692e-06,2.8103605069957698e-05,5.6207210139915396e-05
0.019358345849254856,0.9999994632125583,5.367874417183671e-07,8.726801122642795e-06,1.745360224528559e-05
0.022407023732785827,0.9999996529414125,3.470585875353649e-07,5.642291596150083e-06,1.1284583192300166e-05
0.025935827186440785,0.9999999295494056,7.045059435828449e-08,1.1453478195551691e-06,2.2906956391103382e-06
0.03002036949961715,0.9999999395906306,6.040936939566421e-08,9.821029921501372e-07,1.9642059843002743e-06
0.03474817203303626,0.9999999567954897,4.320451030270789e-08,7.023956592686479e-07,1.4047913185372958e-06
0.0402205395790642,0.9999999812565988,1.8743401164478257e-08,3.047201212470472e-07,6.094402424940944e-07
0.04655473106594144,0.9999999875390716,1.2460928400237492e-08,2.0258306268166773e-07,4.0516612536333546e-07
0.05388647211859605,0.9999999881341787,1.1865821325507397e-08,1.929081323755075e-07,3.85816264751015e-07
0.062372863313833196,0.9999999962067156,3.793284353292847e-09,6.16691740157875e-08,1.23338348031575e-07
0.07219574644641773,0.9999999927096968,7.290303249973817e-09,1.1852182380164097e-07,2.3704364760328194e-07
0.08356560093657683,0.9999999949853526,5.01464736402113e-09,8.152543603834452e-08,1.6305087207668905e-07
0.09672605386903257,0.9999999944123572,5.58764279290358e-09,9.084088711527954e-08,1.8168177423055909e-07
0.11195910030223778,0.999999994747468,5.252531964927698e-09,8.539283575918237e-08,1.7078567151836474e-07
0.129591145705776,0.99999999443557,5.564430027860112e-09,9.046350648321315e-08,1.809270129664263e-07
0.15,0.9999999948708174,5.129182634178164e-09,8.338748877376046e-08,1.667749775475209e-07
