k_Mpc,nbar_k,Q_toe
0.0005,0.15593480384884573,0.7622708797675272
0.001,0.037720913915729,0.9298503871812571
0.002,0.03251574150395968,0.9389393796845762
0.005,0.0016506047898171598,0.9967096525468981
0.01,1.874238548507383e-05,0.9999625166340853
0.02,2.2766983825346957e-07,0.9999995446605309
0.05,1.2571950376609948e-09,0.99999999748561
0.1,2.4011810189404724e-09,0.9999999951976379
