k_Mpc,nbar_k,Q_toe
0.0004999999999999999,0.1559348038488471,0.7622708797675256
0.0005787432435413461,0.10941452323167741,0.8204596066213506
0.0006698874838895159,0.0786545540742426,0.8640733862363226
0.0007753857104679395,0.05823290138956552,0.8956835019136083
0.0008974984821436539,0.044670777789359926,0.9179857271383937
0.0010388423652585065,0.03575887647042052,0.9332556527929131
0.0012024459999957439,0.030141983520035564,0.9431435644468319
0.001391814996441709,0.027094569896822976,0.9485963782511995
0.0016110070509003237,0.02649402248577716,0.9496783983212405
0.001864718892012066,0.02919631347215848,0.9448289552876968
0.0021583869197117768,0.03905628728749431,0.9275469218919165
0.002498303693462418,0.07870313076584554,0.8640008553924856
0.0028917527658115297,0.7361708840832694,0.4044748233742736
0.0033471647504108477,0.04579711835031895,0.9160913152331372
0.0038742979686400693,0.011471950328281475,0.9775707146385674
0.004484447545632805,0.0036280197706776243,0.9927962312892566
0.005190687436101117,0.0012698981195499476,0.9974666379842201
0.00600815056595695,0.0004694896285885191,0.9990619015977639
0.006954353092453408,0.00017974954252087473,0.9996406301081056
0.008049569730916554,7.101183760375971e-05,0.9998579964926526
0.009317268190365775,2.8896850075659108e-05,0.9999422096397674
0.010784612026873803,1.1680934847580285e-05,0.999976638676069
0.012483042689535914,4.480589089500512e-06,0.9999910389021229
0.01444895323081421,1.8948241937476277e-06,0.9999962103659739
0.01672446811715727,8.643309348959921e-07,0.9999982713411184
0.019358345849254856,2.683938649653044e-07,0.9999994632125583
0.022407023732785827,1.735293539913057e-07,0.9999996529414125
0.025935827186440785,3.522529972823839e-08,0.9999999295494056
0.03002036949961715,3.020468652660667e-08,0.9999999395906306
0.03474817203303626,2.1602256138804764e-08,0.9999999567954897
0.0402205395790642,9.371700781021377e-09,0.9999999812565988
0.04655473106594144,6.2304642269219414e-09,0.9999999875390716
0.05388647211859605,5.93291067143312e-09,0.9999999881341787
0.062372863313833196,1.896642197457826e-09,0.9999999962067156
0.07219574644641773,3.6451516123575383e-09,0.9999999927096968
0.08356560093657683,2.507323631281015e-09,0.9999999949853526
0.09672605386903257,2.7938213785134044e-09,0.9999999944123572
0.11195910030223778,2.626265965513499e-09,0.999999994747468
0.129591145705776,2.782214990302297e-09,0.99999999443557
0.15,2.5645912977343144e-09,0.9999999948708174
